iter	Passed	Remaining
549	3274	2678
550	3279	2672
551	3284	2665
552	3291	2660
553	3296	2653
554	3301	2647
555	3306	2640
556	3311	2634
557	3317	2627
558	3322	2621
559	3327	2614
560	3333	2608
561	3338	2601
562	3344	2595
563	3349	2589
564	3355	2583
565	3360	2576
566	3365	2570
567	3371	2564
568	3376	2557
569	3381	2551
570	3387	2544
571	3392	2538
572	3397	2531
573	3402	2525
574	3408	2519
575	3414	2513
576	3419	2507
577	3425	2501
578	3430	2494
579	3435	2487
580	3441	2481
581	3447	2475
582	3453	2470
583	3459	2464
584	3465	2458
585	3471	2452
586	3476	2446
587	3480	2438
588	3485	2432
589	3490	2425
590	3495	2419
591	3500	2412
592	3506	2406
593	3511	2400
594	3517	2393
595	3523	2388
596	3528	2381
597	3533	2375
598	3539	2369
599	3544	2363
600	3550	2356
601	3555	2350
602	3560	2344
603	3564	2336
604	3569	2330
605	3574	2323
606	3578	2316
607	3592	2315
608	3596	2309
609	3602	2302
610	3607	2296
611	3612	2290
612	3617	2283
613	3621	2276
614	3625	2269
615	3629	2262
616	3634	2256
617	3639	2249
618	3643	2242
619	3648	2236
620	3654	2230
621	3658	2223
622	3664	2217
623	3668	2210
624	3673	2203
625	3678	2197
626	3684	2192
627	3690	2186
628	3695	2179
629	3707	2177
630	3711	2170
631	3716	2164
632	3720	2157
633	3726	2151
634	3731	2144
635	3736	2138
636	3741	2132
637	3747	2126
638	3752	2119
639	3767	2119
640	3772	2112
641	3778	2106
642	3783	2100
643	3789	2094
644	3794	2088
645	3800	2082
646	3805	2076
647	3810	2069
648	3816	2064
649	3821	2057
650	3827	2051
651	3832	2045
652	3837	2039
653	3842	2033
654	3848	2026
655	3853	2020
656	3859	2014
657	3864	2008
658	3870	2002
659	3875	1996
660	3880	1990
661	3887	1984
662	3892	1978
663	3897	1972
664	3902	1965
665	3907	1959
666	3911	1952
667	3916	1946
668	3921	1940
669	3926	1934
670	3932	1927
671	3937	1921
672	3943	1915
673	3948	1909
674	3953	1903
675	3958	1897
676	3963	1891
677	3968	1884
678	3973	1878
679	3978	1872
680	3984	1866
681	3989	1860
682	3994	1854
683	4000	1848
684	4005	1842
685	4010	1835
686	4016	1829
687	4020	1823
688	4026	1817
689	4032	1811
690	4036	1805
691	4042	1799
692	4047	1792
693	4052	1786
694	4057	1780
695	4062	1774
696	4068	1768
697	4073	1762
698	4078	1756
699	4085	1750
700	4091	1745
701	4096	1739
702	4103	1733
703	4109	1727
704	4115	1721
705	4119	1715
706	4122	1708
707	4127	1702
708	4132	1696
709	4137	1689
710	4142	1683
711	4148	1677
712	4154	1672
713	4160	1666
714	4165	1660
715	4171	1654
716	4176	1648
717	4182	1642
718	4188	1636
719	4193	1630
720	4200	1625
721	4205	1619
722	4210	1613
723	4215	1607
724	4221	1601
725	4227	1595
726	4231	1589
727	4237	1583
728	4242	1577
729	4246	1570
730	4251	1564
731	4256	1558
732	4261	1552
733	4278	1550
734	4283	1544
735	4289	1538
736	4296	1533
737	4301	1527
738	4307	1521
739	4313	1515
740	4319	1509
741	4325	1504
742	4331	1498
743	4336	1491
744	4341	1486
745	4347	1480
746	4352	1474
747	4357	1468
748	4362	1462
749	4367	1455
750	4373	1450
751	4378	1444
752	4384	1438
753	4388	1431
754	4394	1426
755	4398	1419
756	4403	1413
757	4407	1407
758	4412	1401
759	4418	1395
760	4423	1389
761	4429	1383
762	4434	1377
763	4439	1371
764	4445	1365
765	4451	1359
766	4457	1353
767	4463	1348
768	4469	1342
769	4474	1336
770	4480	1330
771	4490	1326
772	4496	1320
773	4501	1314
774	4506	1308
775	4512	1302
776	4518	1296
777	4523	1290
778	4528	1284
779	4532	1278
780	4537	1272
781	4542	1266
782	4547	1260
783	4552	1254
784	4557	1248
785	4563	1242
786	4578	1239
787	4584	1233
788	4589	1227
789	4594	1221
790	4600	1215
791	4603	1209
792	4608	1203
793	4614	1197
794	4619	1191
795	4624	1185
796	4629	1179
797	4637	1174
798	4643	1168
799	4646	1161
800	4668	1159
801	4673	1153
802	4680	1148
803	4686	1142
804	4690	1136
805	4698	1130
806	4704	1125
807	4709	1119
808	4715	1113
809	4720	1107
810	4725	1101
811	4731	1095
812	4737	1089
813	4741	1083
814	4746	1077
815	4752	1071
816	4756	1065
817	4761	1059
818	4766	1053
819	4772	1047
820	4776	1041
821	4782	1035
822	4786	1029
823	4791	1023
824	4794	1017
825	4799	1011
826	4804	1004
827	4808	998
828	4813	992
829	4818	986
830	4822	980
831	4827	974
832	4834	969
833	4838	963
834	4843	957
835	4849	951
836	4852	944
837	4858	939
838	4863	933
839	4868	927
840	4873	921
841	4879	915
842	4884	909
843	4889	903
844	4894	897
845	4899	891
846	4905	886
847	4912	880
848	4917	874
849	4922	868
850	4928	862
851	4931	856
852	4935	850
853	4941	844
854	4945	838
855	4948	832
856	4954	826
857	4959	820
858	4982	817
859	4987	811
860	4994	806
861	5001	800
862	5006	794
863	5012	789
864	5017	783
865	5023	777
866	5028	771
867	5033	765
868	5039	759
869	5045	753
870	5051	748
871	5056	742
872	5061	736
873	5066	730
874	5072	724
875	5077	718
876	5081	712
877	5085	706
878	5090	700
879	5095	694
880	5102	689
881	5107	683
882	5113	677
883	5118	671
884	5123	665
885	5128	659
886	5133	654
887	5136	647
888	5146	642
889	5151	636
890	5156	630
891	5161	624
892	5167	619
893	5176	613
894	5182	607
895	5186	601
896	5190	596
897	5196	590
898	5200	584
899	5208	578
900	5213	572
901	5218	566
902	5223	561
903	5229	555
904	5234	549
905	5239	543
906	5244	537
907	5250	531
908	5255	526
909	5260	520
910	5266	514
911	5271	508
912	5277	502
913	5283	497
914	5288	491
915	5294	485
916	5300	479
917	5306	473
918	5313	468
919	5319	462
920	5325	456
921	5331	451
922	5336	445
923	5342	439
924	5347	433
925	5352	427
926	5358	421
927	5363	416
928	5369	410
929	5374	404
930	5378	398
931	5384	392
932	5389	387
933	5395	381
934	5400	375
935	5405	369
936	5409	363
937	5413	357
938	5418	351
939	5423	346
940	5428	340
941	5433	334
942	5438	328
943	5444	322
944	5449	317
945	5454	311
946	5459	305
947	5465	299
948	5470	294
949	5475	288
950	5480	282
951	5485	276
952	5490	270
953	5496	265
954	5501	259
955	5505	253
956	5511	247
957	5516	241
958	5522	236
959	5527	230
960	5533	224
961	5539	218
962	5543	213
963	5548	207
964	5552	201
965	5557	195
